Time,Infected
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,6
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,8
82,8
83,8
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,9
92,10
93,10
94,10
95,10
96,11
97,11
98,11
99,11
100,11
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,12
109,13
110,14
111,14
112,14
113,14
114,14
115,14
116,14
117,14
118,14
119,14
120,14
121,12
122,12
123,13
124,13
125,13
126,13
127,13
128,14
129,14
130,14
131,14
132,14
133,14
134,14
135,14
136,14
137,15
138,15
139,15
140,15
141,15
142,15
143,16
144,16
145,17
146,17
147,17
148,17
149,18
150,18
151,18
152,18
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,18
163,19
164,19
165,19
166,20
167,20
168,20
169,20
170,20
171,21
172,21
173,21
174,19
175,20
176,20
177,20
178,20
179,20
180,20
181,20
182,20
183,21
184,22
185,22
186,21
187,21
188,20
189,19
190,19
191,19
192,19
193,19
194,19
195,19
196,19
197,19
198,19
199,19
200,19
201,19
202,18
203,18
204,18
205,18
206,18
207,18
208,19
209,19
210,19
211,20
212,19
213,19
214,19
215,19
216,18
217,18
218,18
219,18
220,18
221,17
222,17
223,17
224,17
225,17
226,17
227,17
228,16
229,15
230,14
231,14
232,14
233,14
234,14
235,14
236,14
237,14
238,14
239,14
240,14
241,15
242,15
243,14
244,14
245,14
246,14
247,14
248,13
249,12
250,13
251,13
252,13
253,13
254,14
255,14
256,14
257,13
258,13
259,13
260,13
261,13
262,13
263,13
264,12
265,11
266,10
267,10
268,10
269,10
270,9
271,10
272,10
273,10
274,10
275,10
276,10
277,11
278,11
279,11
280,11
281,11
282,11
283,11
284,11
285,11
286,9
287,9
288,9
289,9
290,9
291,9
292,8
293,9
294,9
295,9
296,9
297,9
298,9
299,9
300,9
301,9
302,9
303,9
304,7
305,7
306,7
307,7
308,6
309,6
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,8
318,8
319,8
320,8
321,8
322,8
323,7
324,7
325,7
326,7
327,7
328,6
329,6
330,6
331,6
332,5
333,5
334,5
335,5
336,6
337,6
338,6
339,6
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,6
351,6
352,6
353,6
354,6
355,6
356,9
357,9
358,9
359,9
360,8
361,8
362,8
363,7
364,7
365,7
366,7
367,6
368,6
369,6
370,6
371,5
372,5
373,5
374,5
375,5
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,5
384,5
385,7
386,7
387,7
388,7
389,7
390,7
391,6
392,6
393,6
394,6
395,6
396,4
397,4
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,4
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,4
428,4
429,4
430,4
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
